"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20230501","중앙선","아신","732","707","20230504"
"20230501","5호선","아차산(어린이대공원후문)","14332","14153","20230504"
"20230501","2호선","아현","8759","8589","20230504"
"20230501","3호선","안국","25274","24807","20230504"
"20230501","안산선","안산","11119","10089","20230504"
"20230501","6호선","안암(고대병원앞)","13295","13875","20230504"
"20230501","경부선","안양","19565","19619","20230504"
"20230501","8호선","암사","13589","12418","20230504"
"20230501","3호선","압구정","23534","25325","20230504"
"20230501","분당선","압구정로데오","14986","16391","20230504"
"20230501","5호선","애오개","4453","4377","20230504"
"20230501","경의선","야당","7117","6900","20230504"
"20230501","수인선","야목","303","260","20230504"
"20230501","분당선","야탑","18981","19848","20230504"
"20230501","6호선","약수","2906","3056","20230504"
"20230501","3호선","약수","10559","10191","20230504"
"20230501","중앙선","양수","2928","2514","20230504"
"20230501","중앙선","양원","2453","2461","20230504"
"20230501","3호선","양재(서초구청)","20013","23487","20230504"
"20230501","중앙선","양정","687","617","20230504"
"20230501","경원선","양주","7333","6903","20230504"
"20230501","2호선","양천구청","5282","5542","20230504"
"20230501","9호선","양천향교","5923","6407","20230504"
"20230501","중앙선","양평","3436","3181","20230504"
"20230501","5호선","양평","3928","3936","20230504"
"20230501","7호선","어린이대공원(세종대)","18948","20279","20230504"
"20230501","수인선","어천","995","1097","20230504"
"20230501","9호선2~3단계","언주","4656","4774","20230504"
"20230501","5호선","여의나루","17820","18667","20230504"
"20230501","9호선","여의도","13753","12901","20230504"
"20230501","5호선","여의도","13495","15107","20230504"
"20230501","경강선","여주","2691","2747","20230504"
"20230501","경인선","역곡","23657","23178","20230504"
"20230501","2호선","역삼","19148","21482","20230504"
"20230501","6호선","역촌","2862","3408","20230504"
"20230501","수인선","연수","4242","4216","20230504"
"20230501","6호선","연신내","1","0","20230504"
"20230501","3호선","연신내","30183","28551","20230504"
"20230501","9호선","염창","11991","11900","20230504"
"20230501","경부선","영등포","38578","38769","20230504"
"20230501","2호선","영등포구청","12636","13283","20230504"
"20230501","5호선","영등포구청","2497","2434","20230504"
"20230501","5호선","영등포시장","7805","8192","20230504"
"20230501","공항철도 1호선","영종","3744","3725","20230504"
"20230501","분당선","영통","7575","7956","20230504"
"20230501","3호선","오금","4089","3884","20230504"
"20230501","5호선","오금","2423","2330","20230504"
"20230501","경인선","오류동","9492","9052","20230504"
"20230501","분당선","오리","7542","6352","20230504"
"20230501","5호선","오목교(목동운동장앞)","17187","18034","20230504"
"20230501","수인선","오목천","3453","3248","20230504"
"20230501","중앙선","오빈","342","316","20230504"
"20230501","경부선","오산","9842","10403","20230504"
"20230501","경부선","오산대","3165","3100","20230504"
